mav,rms
8.79473938805634e-08,1.1682151386346316e-07
8.895186432481964e-08,1.1872667458571652e-07
8.619114642510112e-08,1.1344267544085688e-07
1.1316740541660329e-06,1.4186498915839213e-06
1.1463280224460657e-06,1.4578334210984958e-06
1.208902847849743e-06,1.5202133633375862e-06
1.2374301282907623e-06,1.539623548583467e-06
1.2064752976827406e-06,1.5080059737741296e-06
1.2625412687002377e-06,1.5661496892269903e-06
1.2437909957380413e-06,1.5641518853761756e-06
1.241020991706079e-06,1.5519763737221761e-06
1.258633490465918e-06,1.5759950814273864e-06
1.2778685002948866e-06,1.5991341290941226e-06
1.2330130752553836e-06,1.5488806083537994e-06
1.2828134243325587e-06,1.6127752640552648e-06
3.72948722040494e-05,4.979514053514368e-05
2.8087243952414673e-05,3.735367770292869e-05
2.9922915441130634e-05,4.1683214863673613e-05
2.930229653103301e-05,3.8471474278735695e-05
2.362451080668949e-05,3.0893185165157096e-05
2.5393891564736053e-05,3.3946123826129055e-05
7.921367987884657e-05,0.00018993854823025428
3.426154805191503e-05,4.4632182104324013e-05
9.229465479023871e-05,0.00018592211504641902
4.58461447592888e-05,6.229008576933342e-05
3.085308435299551e-05,4.308441691640424e-05
3.921211552419334e-05,5.329677621736542e-05
1.2184730668844097e-06,1.515503713837785e-06
1.2252866805388965e-06,1.5477465849934704e-06
1.2474284591185701e-06,1.5549003567922974e-06
1.2650631634405442e-06,1.5782564647267746e-06
1.2304909663547041e-06,1.545011339933134e-06
1.2769052322593114e-06,1.592485537218306e-06
1.2470799159964658e-06,1.5678951391075847e-06
1.2205029533602177e-06,1.5379643134751304e-06
1.2455497449291602e-06,1.5611836441181202e-06
1.2550571744718775e-06,1.566933100685993e-06
1.216137131174588e-06,1.5161533642650644e-06
1.2687972151218931e-06,1.5914276035486046e-06
1.4089277952533369e-05,1.6941019684333864e-05
1.2812054563125142e-05,1.4852141589223696e-05
1.324578850465393e-05,1.5612840695463537e-05
1.1913888539891122e-06,1.5053312357782618e-06
1.204606540137226e-06,1.5184294985063368e-06
1.2395710766358927e-06,1.5566525089128817e-06
3.796983943059828e-05,5.098737352434857e-05
2.750459691623895e-05,3.5771956150830285e-05
3.0721919469959825e-05,4.363784752760486e-05
1.2371397064841024e-06,1.5429280737996116e-06
1.2327707611180294e-06,1.5437612885410915e-06
