mav
8.79473938805634e-08,E1
8.895186432481964e-08,Pz
8.619114642510112e-08,Fp1
1.1316740541660329e-06,T6
1.1463280224460657e-06,F7
1.208902847849743e-06,O2
1.2374301282907623e-06,Fz
1.2064752976827406e-06,F8
1.2625412687002377e-06,A1
1.2437909957380413e-06,F3
1.241020991706079e-06,C4
1.258633490465918e-06,T5
1.2778685002948866e-06,P4
1.2330130752553836e-06,Fp2
1.2828134243325587e-06,Oz
3.72948722040494e-05,O1
2.8087243952414673e-05,T3
2.9922915441130634e-05,A2
2.930229653103301e-05,C3
2.362451080668949e-05,Cz
2.5393891564736053e-05,F4
7.921367987884657e-05,T4
3.426154805191503e-05,P3
